FileNo,P-grade,Av. Size,Lower,Upper
1,,,0,0
2,,,0,0
3,,,0,0
4,,,0.08,0.08
5,,,0.08,0.08
6,40,425,0.08,0.08
,,,,
7,40,425,0.15,0.15
8,240,53,0.04,0.04
,,,,
9,240,53,0.08,0.08
10,240,53,0.15,0.15
11,80,190,0.08,0.08
12,80,190,0.15,0.15
13,80,190,0.04,0.04
,,,,
14,40,425,0.04,0.04
15,240,53,0.08,0.08
16,240,53,0.08,0.08
17,240,53,0.08,0.08
18,80,190,0.15,0.04
